DISCOVERER_EUL,DISCOVERER_OWNER,DISCOVERER_WORKBOOK,DISCOVERER_WORKSHEET,ARGOS_PATH,ARGOS_DATABLOCK,ARGOS_REPORT_TYPE,ARGOS_REPORT_NAME,VETTED_IND,ARGOS_REPORT_DESCRIPTION,INPROG_IND
"ADMISSIONS","COMP","Admissions Decision Lists NEW","Applicant Decision Code History IR Info","Admissions","Admitted Student Analysis","CSV Report","Decision Progression Report - Address Information","N","Returns decision code progression and address information for all admitted students, based on the selected parameters.","N"
"ADMISSIONS","COMP","Admissions Decision Lists NEW","Freshmen","Admissions","Admitted Student Analysis","CSV Report","Decision List by High School County Report","N","Returns all admitted students sorted by high school county, based on the selected parameters.","N"
"ADMISSIONS","COMP","Admissions Decision Lists NEW","Freshmen SAT >= 1100","Admissions","Admitted Student Analysis","CSV Report","Decision List by High School County Report - SAT >= 1100","N","Returns all admitted students sorted by high school county with an SAT total score greater than or equal to 1100.","N"
"ADMISSIONS","COMP","Admissions Decision Lists NEW","Graduate","Admissions","Admitted Student Analysis","CSV Report","Decision List by College County Report","N","Returns all admitted students sorted by college county, based on the selected parameters.","N"
"ADMISSIONS","COMP","Admissions Decision Lists NEW","Minority Freshmen","Admissions","Admitted Student Analysis","CSV Report","Decision List by High School County Report - Minorites Only","N","Returns all admitted students sorted by high school county with a minority ethnicity (SPBPERS_ETHN_CODE IN ('2', '3')), based on the selected parameters.","N"
"ADMISSIONS","COMP","Admissions Decision Lists NEW","Transfer & Readmit","Admissions","Admitted Student Analysis","CSV Report","Decision List by College County Report","N","Returns all admitted students sorted by college county, based on the selected parameters.","N"
"ADMISSIONS","COMP","Admissions Decision Lists NEW IR","Freshman","Admissions","Admitted Student Analysis","CSV Report","Decision List by High School County Report","N","Returns all admitted students sorted by high school county, based on the selected parameters.","N"
"ADMISSIONS","COMP","Admissions Decision Lists NEW IR","Graduate","Admissions","Admitted Student Analysis","CSV Report","Decision List by College County Report","N","Returns all admitted students sorted by college county, based on the selected parameters.","N"
"ADMISSIONS","COMP","Admissions Decision Lists NEW IR","Transfer & Readmit","Admissions","Admitted Student Analysis","CSV Report","Decision List by College County Report","N","Returns all admitted students sorted by college county, based on the selected parameters.","N"
"ADMISSIONS","COMP","Admissions Decision Lists NEW IR All Students","All Students","Admissions","Admitted Student Analysis","CSV Report","Full Decision List Report","N","Returns prior high school and college information for all admitted students, based on the selected parameters.","N"
"ADMISSIONS","COMP","Admissions Freshmen Decision Lists","Freshmen","Admissions","Admitted Student Analysis","CSV Report","Decision List by High School County Report","N","Returns all admitted students sorted by high school county, based on the selected parameters.","N"
"ADMISSIONS","COMP","Admitted Student Reports","Acceptance Deposits","Admissions","Admitted Student Analysis","CSV Report","Acceptance Deposits Report","N","Returns all admitted, matriculated students with an application decision code of 'CC' or 'AG', and a deposit amount that is greater than 0, based on the selected parameters.","N"
"ADMISSIONS","KURTZJ","Applicant Interest Reports","Applicant Interest by Interest w Email Address","Admissions","Admitted Student Analysis","CSV Report","Applicant Interest Report - Email","N","Returns interest codes for admitted students, based on the selected parameters.","N"
"ADMISSIONS","KURTZJ","Applicant Pool - All Student Types","Sheet 1","Admissions","Admitted Student Analysis","CSV Report","Applicant Pool Report","N","Returns address and contact information for all admitted students, based on the selected parameters.","N"
"ADMISSIONS","COMP","Black-Hispanic Detail Report","No Email","Admissions","Admitted Student Analysis","CSV Report","Non-Matriculated Minorities Report - No Email","N","Returns all admitted students that are non-matriculated and have a SPBPERS_ETHN_CODE of 2 or 3, based on the selected parameters.","N"
"ADMISSIONS","COMP","Black-Hispanic Detail Report","Sheet 1 ","Admissions","Admitted Student Analysis","CSV Report","Non-Matriculated Minorities Report","N","Returns all admitted students that are non-matriculated and have a SPBPERS_ETHN_CODE of 2 or 3, with email addresses, based on the selected parameters.","N"
"ADMISSIONS","COMP","Decision Progression","Decision Progression","Admissions","Admitted Student Analysis","CSV Report","Decision Progression Report","N","Returns decision code progression for all admitted students, based on the selected parameters.","N"
"ADMISSIONS","COMP","EOF Detail Report","Detail - No Email","Admissions","Admitted Student Analysis","CSV Report","EOF Detail Report - No Email","N","Returns all admitted students in the EOF program without email addresses, based on the selected parameters.","N"
"ADMISSIONS","COMP","EOF Detail Report","Detail - With Email","Admissions","Admitted Student Analysis","CSV Report","EOF Detail Report","N","Returns all admitted students in the EOF program, based on the selected parameters.","N"
"ADMISSIONS","COMP","FRST","Basic Admitted Student Info","Admissions.FRST Program","FRST Admits Analysis","CSV Report","Student Test Scores Report","N",,"N"
"ADMISSIONS","GLASSA","GRAD School File Review data_for Progrm Directors_per major","New Admit details","Admissions","Admitted Student Analysis","CSV Report","Graduate School File Review Report","N","Returns all admitted students with a level code of 'G' that are in the selected program(s), based on the given entry term code.","N"
